temperature_2m_mean,total_precipitation_sum,surface_pressure_mean,u_component_of_wind_10m_mean,v_component_of_wind_10m_mean,time
274.6922338867187,1.7588702405646472E-5,95113.88296875,0.0665606689453125,-1.5521563720703124,1981-01-01T12:00:00
274.9952685546875,9.977816603168321E-6,94920.0046875,0.08864501953125,-2.22816162109375,1981-01-02T12:00:00
275.11719787597656,1.2063838426001894E-5,94562.29921875,-0.2109844207763672,-0.7226878356933594,1981-01-03T12:00:00
276.01322509765623,1.2024533646126656E-5,94265.708125,0.1498974609375,-0.09152202606201172,1981-01-04T12:00:00
275.895625,6.513309074307472E-6,94438.61796875,-0.7238787841796875,-1.9986111068725585,1981-01-05T12:00:00
275.40013305664064,3.480910436337581E-6,94667.3996875,-0.667073974609375,-1.7698258209228515,1981-01-06T12:00:00
275.2543090820312,4.351138045421976E-7,94673.7346875,-0.20532279968261719,-2.1223509979248045,1981-01-07T12:00:00
275.4533917236328,1.5784143556629715E-5,94754.66875,-0.8700826644897461,-1.7422430419921875,1981-01-08T12:00:00
274.9646295166016,1.5014409882496693E-5,94506.5196875,-0.6947188186645508,0.184954833984375,1981-01-09T12:00:00
275.25440673828126,0.0073358162960808215,93564.09671875,0.6906109619140625,-0.5240707397460938,1981-01-10T12:00:00
272.6312585449219,0.007890185323049081,92938.239375,0.7034069442749024,-3.332216796875,1981-01-11T12:00:00
273.40638244628906,0.009231980143340479,93110.14640625,1.25792236328125,-2.0078863143920898,1981-01-12T12:00:00
273.2936999511719,0.02093908898433483,93263.5325,1.1788720703125,-4.807520484924316,1981-01-13T12:00:00
274.5421209716797,0.0013985147693347244,94127.0821875,2.1424624633789064,-2.214489822387695,1981-01-14T12:00:00
276.7680236816406,2.6640295459401386E-5,94059.44703125,4.0153889465332036,-0.055984725952148436,1981-01-15T12:00:00
279.8012121582031,2.640064095089656E-4,94049.38640625,3.3329193115234377,-0.2707830810546875,1981-01-16T12:00:00
276.24925109863284,0.0010568586368862043,94115.07140625,1.2508079528808593,-0.14065731048583985,1981-01-17T12:00:00
277.2327313232422,7.78270531505143E-5,94386.6071875,0.5672446060180664,-1.1292934036254882,1981-01-18T12:00:00
276.897275390625,8.123830298245593E-6,94572.580625,0.2997664642333984,-0.4081181335449219,1981-01-19T12:00:00
279.3771069335937,5.5569359993512535E-6,94441.161875,1.9618540573120118,-1.2166492080688476,1981-01-20T12:00:00
282.62740600585937,1.6414602441727766E-5,94518.71703125,0.5599152374267579,-2.773213119506836,1981-01-21T12:00:00
281.3553350830078,8.374451567760843E-7,94346.18703125,-1.8185308074951172,-2.9608724975585936,1981-01-22T12:00:00
280.0780853271484,6.091594059398631E-6,94114.736875,-1.6084576416015626,-0.5403190231323243,1981-01-23T12:00:00
279.8641418457031,1.4890812235535122E-4,94154.16296875,-1.2554438400268555,0.0510302734375,1981-01-24T12:00:00
277.65369567871096,3.983711462751671E-5,94244.239375,-1.3776995849609375,-0.5181842041015625,1981-01-25T12:00:00
276.91421875,1.0423456558328326E-5,94418.131875,-0.3707855224609375,-0.10353744506835938,1981-01-26T12:00:00
275.9214849853516,4.351138045421976E-7,94779.65921875,-1.3363654327392578,0.22249664306640626,1981-01-27T12:00:00
276.21586547851564,1.7578898280135036E-5,94845.86046875,-0.902544174194336,-0.0522161865234375,1981-01-28T12:00:00
276.1384008789062,1.1621563317021355E-5,94577.645625,-1.5069628143310547,0.6456426620483399,1981-01-29T12:00:00
276.33561950683594,4.412650184804079E-5,94602.38625,-2.254042205810547,1.0078707122802735,1981-01-30T12:00:00
277.82346496582034,3.0833993830725603E-4,95029.19109375,-2.449222640991211,0.4529684066772461,1981-01-31T12:00:00
275.7831079101563,5.141799687180537E-5,95119.3615625,-0.7091950988769531,-0.761752052307129,1981-02-01T12:00:00
275.8336706542969,5.189557271023659E-6,95222.2178125,-0.59780517578125,-0.4859770202636719,1981-02-02T12:00:00
276.86314880371094,9.01520227003516E-6,94701.72640625,0.9275750732421875,0.3188427734375,1981-02-03T12:00:00
277.9591906738281,4.271424814241698E-4,93615.76578125,3.254097900390625,0.23307861328125,1981-02-04T12:00:00
279.4256005859375,4.3682377793174965E-5,93989.55015625,1.779403076171875,-2.6005609130859373,1981-02-05T12:00:00
279.86541076660154,1.0280634956671975E-5,94566.485625,-0.6304756927490235,-2.4689117431640626,1981-02-06T12:00:00
281.8289178466797,1.6369087973089336E-5,94647.1884375,-1.13027099609375,-1.0994591903686524,1981-02-07T12:00:00
280.9137774658203,3.051956264243927E-5,94363.37765625,-0.674232177734375,0.35175151824951173,1981-02-08T12:00:00
279.64890625,0.0053740812762157475,93800.9234375,0.805947265625,1.074620361328125,1981-02-09T12:00:00
278.15677978515623,0.19797973462056007,93455.5059375,-0.8166583251953125,-0.39103599548339846,1981-02-10T12:00:00
276.6716833496094,0.02892738492113267,93684.52078125,-1.423890037536621,-2.633708267211914,1981-02-11T12:00:00
275.3749981689453,0.0347224570062572,92756.92328125,-1.65688232421875,0.594051513671875,1981-02-12T12:00:00
277.6881091308594,0.14524646624875004,92649.260625,-1.9808740234375,1.7631842041015624,1981-02-13T12:00:00
278.4918957519531,0.007356962293954439,93349.75765625,-3.489988098144531,1.39315185546875,1981-02-14T12:00:00
278.2344482421875,3.094667312097954E-5,93223.3559375,-3.3714002990722656,0.8458670806884766,1981-02-15T12:00:00
276.4765637207031,3.239955663048022E-5,93106.5775,-0.8353292083740235,-1.0451500701904297,1981-02-16T12:00:00
