"tag_id","ring_number","scientific_name","tag_comments","manufacturer","model","firmware","weight","attachment_type","readout_method"
"28CG","AA17318","Cossypha natalensis","RN: 28CG was brought back to Sempach but has no data","Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.55,"leg harness|material:cord|attachement:tubes",NA
"28CH","AA17264","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.53,"leg harness|material:cord|attachement:tubes",NA
"26YA","BB6466","Halcyon senegaloides","Too much glue, touched few body feathers. RN: tag_id was incorrectly named 28YA.","Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.55,"leg harness|material:cord|attachement:tubes",NA
"30EN","BB6490","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.52,"leg harness|material:cord|attachement:tubes",NA
"30FC","BB6491","Halcyon senegaloides","RN: Please Add comment here??? Not deployed?","Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.53,"leg harness|material:cord|attachement:tubes",NA
"30GN","BB6489","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.54,"leg harness|material:cord|attachement:tubes",NA
"30GO","BB6486","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.58,"leg harness|material:cord|attachement:tubes",NA
"30GP","BB6485","Halcyon senegaloides","RN: 30GP was brought back to Sempach but has no data","Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.54,"leg harness|material:cord|attachement:tubes",NA
"30HH","BB6561","Halcyon senegaloides","RN: No observations, why???","Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.52,"leg harness|material:cord|attachement:tubes",NA
"30HQ","AA44733","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.52,"leg harness|material:cord|attachement:tubes",NA
"30HR","BB6487","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.58,"leg harness|material:cord|attachement:tubes",NA
"30HS","AA17314","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.49,"leg harness|material:cord|attachement:tubes",NA
"30HT","AA44736","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.5,"leg harness|material:cord|attachement:tubes",NA
"30HU","BB6488","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.53,"leg harness|material:cord|attachement:tubes",NA
"30HV","BB6482","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.54,"leg harness|material:cord|attachement:tubes",NA
"30HW","AA44738","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.59,"leg harness|material:cord|attachement:tubes",NA
"30HX","BB6481","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.54,"leg harness|material:cord|attachement:tubes",NA
"30HZ","BB6573","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.59,"leg harness|material:cord|attachement:tubes",NA
"30IA","AA17318","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.66,"leg harness|material:cord|attachement:tubes",NA
"30IB","BB6492","Halcyon senegaloides","RN: No observations, why???","Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.5,"leg harness|material:cord|attachement:tubes",NA
"30II","AA17012","Cossypha natalensis","GL and bird was great","Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.48,"leg harness|material:cord|attachement:tubes",NA
"30IJ","AA44735","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.55,"leg harness|material:cord|attachement:tubes",NA
"30IK","BB6484","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.5700001,"leg harness|material:cord|attachement:tubes",NA
"30IO","AA44748","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.51,"leg harness|material:cord|attachement:tubes",NA
"30IP","L02965","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.52,"leg harness|material:cord|attachement:tubes",NA
"30IQ","AA17269","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.49,"leg harness|material:cord|attachement:tubes",NA
"30IR","AA17251","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.54,"leg harness|material:cord|attachement:tubes",NA
"30JR","AA44752","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.5,"leg harness|material:cord|attachement:tubes",NA
"30JS","BB6594","Halcyon senegaloides",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.59,"leg harness|material:cord|attachement:tubes",NA
"30JT","AA17249","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.47,"leg harness|material:cord|attachement:tubes",NA
"30JU","AA44772","Halcyon senegaloides","This GL was initally placed on a RCRC with ring number L02967 on the 01.09.2022. This bird was killed by monkey so the geolocator was equipped on this bird","Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.59,"leg harness|material:cord|attachement:tubes",NA
"30JW","AA13998","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.3","FW_GDL3pam_V2.4.1",1.52,"leg harness|material:cord|attachement:tubes",NA
"30VG","AA17110","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.4","GDL3pam_V2.6.1-RC1",1.54,"leg harness|material:cord|attachement:tubes",NA
"30VM","AA44844","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.4","GDL3pam_V2.6.1-RC1",1.53,"leg harness|material:cord|attachement:tubes",NA
"30VP","AA17264","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.4","GDL3pam_V2.6.1-RC1",1.41,"leg harness|material:cord|attachement:tubes",NA
"30VQ","AA17251","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.4","GDL3pam_V2.6.1-RC1",1.46,"leg harness|material:cord|attachement:tubes",NA
"30WM","AA44800","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.4","GDL3pam_V2.6.1-RC1",1.54,"leg harness|material:cord|attachement:tubes",NA
"30WN","AA44733","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.4","GDL3pam_V2.6.1-RC1",1.48,"leg harness|material:cord|attachement:tubes",NA
"30WO","AA44812","Cossypha natalensis",NA,"Swiss Ornithological Institute","GDL3pam-v2.4","GDL3pam_V2.6.1-RC1",1.55,"leg harness|material:cord|attachement:tubes",NA
